category,url,status_code,load_time_ms,ttfb_ms,request_count,total_bytes,seo_title,seo_meta_description,seo_canonical,seo_h1,seo_robots,images_total,images_missing_alt,images_broken,error_count,responsive_issue_count,a11y_violation_count,cls
node,/node/302,200,1023,142,22,60247,Thank You | NORD Muntenia,,https://clauding8-model-b.ddev.site/thank-you,,,10,0,0,5,0,6,0.0
node,/node/303,200,1750,248,13,60247,Pagina Contact | NORD Muntenia,,https://clauding8-model-b.ddev.site/contact,,,12,0,0,2,0,9,0.0
node,/node/304,200,755,120,45,1004734,San | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/san,,,10,0,0,3,0,7,0.0
node,/node/305,200,1024,220,42,935940,About centru san | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/san/despre-centru,Centrul Integrat de Patologie a Sânului din cadrul NORD Spitalul Muntenia: inovație și speranță în lupta împotriva cancerului; Servicii decontate CAS; Accesează serviciile Spitalului NORD Muntenia Pitești,,11,0,0,3,0,8,0.0
node,/node/306,200,816,170,47,1004509,Services | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/san/servicii,,,10,0,0,3,0,7,0.0
node,/node/307,200,778,114,46,1004509,Resurse utile | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/san/resurse-utile,,,10,0,0,3,0,6,0.0
node,/node/308,200,925,138,43,935940,Mamografie | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/san/imagistica-s%C3%A2nului/mamografie,,,10,0,0,3,0,6,0.0
node,/node/309,200,1433,262,43,1895808,Preturi | NORD Muntenia,,https://clauding8-model-b.ddev.site/preturi,,,12,0,0,3,0,9,0.0
node,/node/310,200,1315,251,46,1505683,Despre noi | NORD Muntenia,,https://clauding8-model-b.ddev.site/despre-noi,Misiunea noastră,,13,0,0,3,0,5,0.0
node,/node/312,200,1214,242,8,190966,Importanta monitorizarii regulate a inimii: cand si de ce sa faci un control cardiologic. | NORD Muntenia,,https://clauding8-model-b.ddev.site/node/312,Importanta monitorizarii regulate a inimii: cand si de ce sa faci un control cardiologic,,11,0,0,3,0,6,0.0
node,/node/313,200,1494,266,45,848063,Article Search | NORD Muntenia,,https://clauding8-model-b.ddev.site/articles,,,16,0,0,2,0,8,0.0
node,/node/314,200,908,208,49,1135228,Rolul kinetoterapiei în reabilitarea pacienţilor post infecţie Covid - 19 2 | NORD Muntenia,,https://clauding8-model-b.ddev.site/node/314,Importanta monitorizarii regulate a inimii: cand si de ce sa faci un control cardiologic,,12,0,1,3,0,6,0.0
node,/node/315,200,793,161,49,1135228,3 Rolul kinetoterapiei în reabilitarea pacienţilor post infecţie Covid - 19 | NORD Muntenia,,https://clauding8-model-b.ddev.site/node/315,Importanta monitorizarii regulate a inimii: cand si de ce sa faci un control cardiologic,,12,0,1,3,0,6,0.0
node,/node/316,200,857,149,49,1411862,"Kisteroscopia - investigaţie modernă, minim invazivă, de diagnostic şi tratament uterin | NORD Muntenia",,https://clauding8-model-b.ddev.site/node/316,Importanta monitorizarii regulate a inimii: cand si de ce sa faci un control cardiologic,,11,0,0,3,0,6,0.0
node,/node/317,200,802,109,46,1004509,Consult senologic | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/san/consult-senologic,,,10,0,0,3,0,6,0.0
node,/node/318,200,955,143,45,1004509,Centrul de Imagistica | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/centrul-de-imagistica,,,10,0,0,3,0,7,0.0
node,/node/319,200,766,132,45,1004509,Centrul de Ortopedie-Traumatologie | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/centrul-de-ortopedietraumatologie,,,10,0,0,3,0,7,0.0
node,/node/320,200,776,122,46,1004509,Despre centru | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/centrul-de-imagistica/despre-centru,,,10,0,0,3,0,6,0.0
